CODE_ID	NAME
931	Lorna Cook
932	Jonas Akerlund
933	Jonas ūerlund
934	Billy Wilder
935	Bronwen Hughes
936	Jan Harlan
937	Leonard Nimoy
938	William Shatner
939	David Carson
940	George Lucas
941	Drew Daywalt
942	David Schneider
943	David Schneider (VI)
944	Peter Chung
945	Phil Tippett
946	Abdul Malik Abbott
947	Tommy Lee Wallace
948	Robert Harmon
949	Mark Fergus
950	George Sluizer
951	Todd Solondz
952	Andrew Bergman
953	Rob Minkoff
954	Colin Teague
955	Glenn Durfort
956	Jonathan Glazer
957	Jan Balej
958	Annabel Jankel
959	Rocky Morton
960	Jeff Daniels
961	Hiroyuki Aoyama
962	Richard Lester
963	Toshihiko Masuda
964	Scott Jeralds
965	Dan Riba
966	Bruce McCulloch
967	E. Elias Merhige
968	Pat O'Connor
969	Christine Jeffs
970	Gary Winick
971	Francis Veber
972	Jay Lowi
973	Andrei Konchalovsky
974	Albert Magnoli
975	Peter Bogdanovich
976	Brian Smith (XV)
977	Brian Smith
978	Trey Parker
979	Robert Towne
980	Deran Sarafian
981	Jonathan Mostow
982	Delbert Mann
983	Blake Edwards
984	Michael Crichton
985	Teddy Chan
986	Jonathan Kaplan
987	Ron Underwood
988	John Lee Hancock
989	Luke Greenfield
990	Andy Jones
991	Robby Henson
992	Efram Potelle
993	Kyle Rankin
994	Henry Bean
995	Clement Virgo
996	Edward Bianchi
997	George Armitage
998	Steve Anderson
999	Steve Anderson (IX)
1000	Samuel Fuller
1001	Felix E. Feist
1002	Daniel Myrick
1003	Eduardo Sanchez
1004	Eduardo Sanchez (II)
1005	Scott Marshall
1006	Roger Donaldson
1007	Eric Bress
1008	J. Mackye Gruber
1009	Kasi Lemmons
1010	Tarsem Singh
1011	Charles Chaplin
1012	Marilyn Fox (II)
1013	Pieter Jan Brugge
1014	Rod Lurie
1015	Alan Shapiro
1016	Dolph Lundgren
1017	Rob Sitch
1018	Jasper James
1019	Bernardo Bertolucci
1020	Reverge Anselmo
1021	Mark Dindal
1022	Jerry Lewis
1023	Rob Cohen
1024	Lloyd A. Simandl
1025	Hugh Wilson
1026	Errol Morris
1027	Nick Love
1028	Shekhar Kapur
1029	David Wain
1030	Joon-ho Bong
1031	John Gray
1032	Andy Fickman
1033	Michael Ritchie
1034	Miguel Arteta
1035	Robin Swicord
1036	Jack Clayton
1037	Frank Darabont
1038	Takashi Shimizu
1039	Daisy von Scherler Mayer
1040	Jim Simpson
1041	Saran Barnun
1042	Garth Jennings
1043	Sönke Wortmann
1044	Bradley Raymond
1045	Oliver Parker
1046	Gerry Chiniquy
1047	Arthur Davis
1048	Brad Bird
1049	Frank Oz
1050	Justin Kelly
1051	Glen McDonald
1052	Andrew Fleming
1053	Michael Caton-Jones
1054	Jeff Nathanson
1055	Stephen Norrington
1056	Roger Allers
1057	Peter Jackson
1058	Signe Baumane
1059	Victor Erice
1060	John Sturges
1061	Mark Joffe
1062	Jim Van Bebber
1063	Andy Wachowski
1064	Larry Wachowski
1065	Jim Gillespie
1066	Michael Radford
1067	Mark Pellington
1068	George Miller
1069	Richard Brooks
1070	Tad Stones
1071	Alejandro Amenabar
1072	Brian Robbins
1073	Stewart Raffill
1074	Sean Penn
1075	Mark Osborne
1076	Michael Petroni (II)
1077	Michael Petroni
1078	Christopher McQuarrie
1079	Ven Jemeršič
1080	Rose Troche
1081	Robert De Niro
1082	Glen Pitre
